시군명,기준년도,기준분기,대상자수,신청자수
광명시,2021,2,3165,3159
광주시,2021,2,3811,3638
군포시,2021,2,3166,3095
이천시,2021,2,2131,2006
오산시,2021,2,2406,2334
하남시,2021,2,2373,2381
양주시,2021,2,2236,2137
구리시,2021,2,2368,2319
안성시,2021,2,1801,1735
포천시,2021,2,1450,1371
의왕시,2021,2,1996,1916
여주시,2021,2,954,932
양평시,2021,2,841,782
동두천시,2021,2,901,833
과천시,2021,2,796,756
가평군,2021,2,496,491
연천군,2021,2,366,324
수원시,2021,3,14965,14900
고양시,2021,3,12427,12401
용인시,2021,3,11204,11167
성남시,2021,3,10406,9899
부천시,2021,3,9759,9838
안산시,2021,3,9357,9079
화성시,2021,3,7835,7731
남양주,2021,3,7258,6979
안양시,2021,3,6853,6918
평택시,2021,3,5541,5621
의정부,2021,3,5444,5368
파주시,2021,3,4494,4408
시흥시,2021,3,5673,5565
김포시,2021,3,3643,3720
광명시,2021,3,3135,3187
광주시,2021,3,3836,3722
군포시,2021,3,3225,3255
이천시,2021,3,2205,2125
오산시,2021,3,2438,2424
하남시,2021,3,2396,2461
양주시,2021,3,2239,2207
구리시,2021,3,2387,2344
안성시,2021,3,1824,1801
포천시,2021,3,1466,1422
의왕시,2021,3,2051,2004
여주시,2021,3,991,988
양평군,2021,3,838,821
동두천,2021,3,906,862
과천시,2021,3,822,819
가평군,2021,3,476,487
연천군,2021,3,387,343
수원시,2021,4,14869,14924
고양시,2021,4,12317,12261
용인시,2021,4,11350,11072
성남시,2021,4,10214,9770
부천시,2021,4,9576,9703
안산시,2021,4,9307,9117
화성시,2021,4,7949,7934
남양주시,2021,4,7335,6984
안양시,2021,4,6744,6869
평택시,2021,4,5663,5667
의정부시,2021,4,5454,5530
파주시,2021,4,4604,4419
시흥시,2021,4,5618,5614
김포시,2021,4,3696,3803
광명시,2021,4,3187,3256
광주시,2021,4,3773,3626
군포시,2021,4,3145,3162
이천시,2021,4,2188,2129
오산시,2021,4,2438,2402
하남시,2021,4,2441,2480
양주시,2021,4,2320,2252
구리시,2021,4,2323,2286
안성시,2021,4,1797,1775
포천시,2021,4,1457,1382
의왕시,2021,4,2034,1955
여주시,2021,4,992,993
양평군,2021,4,834,814
동두천시,2021,4,933,888
과천시,2021,4,806,799
가평군,2021,4,472,493
연천군,2021,4,370,349
오산시,2021,1,2376,2338
하남시,2021,1,2373,2378
양주시,2021,1,2253,2152
구리시,2021,1,2369,2345
안성시,2021,1,1791,1799
포천시,2021,1,1505,1464
의왕시,2021,1,2054,1996
여주시,2021,1,934,962
양평시,2021,1,864,809
동두천시,2021,1,924,890
과천시,2021,1,782,740
가평군,2021,1,477,491
연천군,2021,1,377,363
수원시,2021,2,14977,14227
고양시,2021,2,12435,12170
용인시,2021,2,11077,10739
성남시,2021,2,10354,9719
부천시,2021,2,9848,9541
안산시,2021,2,9383,8921
화성시,2021,2,7643,7361
용인시,2020,3,11180,10799
성남시,2020,3,10907,10052
부천시,2020,3,10210,9699
안산시,2020,3,9811,8978
화성시,2020,3,7302,6733
남양주시,2020,3,7449,6835
안양시,2020,3,7574,6732
평택시,2020,3,5623,5285
의정부시,2020,3,5547,5076
파주시,2020,3,4474,3870
시흥시,2020,3,5771,5432
김포시,2020,3,3715,3540
광명시,2020,3,3654,3398
광주시,2020,3,3727,3426
군포시,2020,3,3433,3240
이천시,2020,3,2188,2067
오산시,2020,3,2376,2242
하남시,2020,3,2285,2168
양주시,2020,3,2244,2106
구리시,2020,3,2376,2308
안성시,2020,3,1830,1645
포천시,2020,3,1538,1405
의왕시,2020,3,2169,1946
여주시,2020,3,1020,942
양평시,2020,3,890,826
동두천시,2020,3,1058,952
과천시,2020,3,710,660
가평군,2020,3,488,429
연천군,2020,3,387,342
수원시,2020,4,15548,14454
고양시,2020,4,12813,12410
용인시,2020,4,11322,10697
성남시,2020,4,10828,10269
부천시,2020,4,10185,10019
안산시,2020,4,9618,8743
화성시,2020,4,7353,6876
남양주시,2020,4,7377,7116
안양시,2020,4,7574,6781
평택시,2020,4,5490,5240
의정부시,2020,4,5448,5117
파주시,2020,4,4371,3925
시흥시,2020,4,5800,5460
김포시,2020,4,3674,3602
광명시,2020,4,3350,3305
광주시,2020,4,3862,3621
군포시,2020,4,3378,3250
이천시,2020,4,2199,2165
오산시,2020,4,2369,2274
하남시,2020,4,2360,2309
양주시,2020,4,2295,2122
구리시,2020,4,2341,2276
안성시,2020,4,1841,1672
포천시,2020,4,1518,1447
의왕시,2020,4,2067,1933
여주시,2020,4,998,956
양평시,2020,4,815,816
동두천시,2020,4,972,920
과천시,2020,4,736,681
가평군,2020,4,478,476
연천군,2020,4,386,363
수원시,2020,1,15874,13851
고양시,2020,1,13194,12315
용인시,2020,1,11180,10364
성남시,2020,1,11069,10309
부천시,2020,1,10429,9734
안산시,2020,1,9882,8710
화성시,2020,1,6791,6520
남양주시,2020,1,7343,6703
안양시,2020,1,7574,6984
평택시,2020,1,5655,5361
의정부시,2020,1,5547,5145
파주시,2020,1,4553,3981
시흥시,2020,1,5803,5471
김포시,2020,1,3571,3490
광명시,2020,1,3654,3439
광주시,2020,1,3727,3316
군포시,2020,1,3432,3175
이천시,2020,1,2203,2004
오산시,2020,1,2355,2225
하남시,2020,1,2267,2064
양주시,2020,1,2244,2052
구리시,2020,1,2457,2470
안성시,2020,1,1766,1576
포천시,2020,1,1509,1434
의왕시,2020,1,2169,1920
여주시,2020,1,1056,969
양평시,2020,1,890,842
동두천시,2020,1,1058,990
과천시,2020,1,710,656
가평군,2020,1,488,453
연천군,2020,1,408,346
수원시,2020,2,15707,13988
고양시,2020,2,13194,11109
용인시,2020,2,11180,10444
성남시,2020,2,10928,10076
부천시,2020,2,10175,9601
안산시,2020,2,9882,8694
화성시,2020,2,6791,6530
남양주시,2020,2,7381,6700
안양시,2020,2,7574,6648
평택시,2020,2,5682,5308
의정부시,2020,2,5547,4961
파주시,2020,2,4468,3854
시흥시,2020,2,5803,5269
김포시,2020,2,3571,3526
광명시,2020,2,3654,3331
광주시,2020,2,3727,3317
군포시,2020,2,3523,3248
이천시,2020,2,2203,2051
오산시,2020,2,2355,2180
하남시,2020,2,2267,2110
양주시,2020,2,2244,2054
구리시,2020,2,2398,2305
안성시,2020,2,1766,1624
포천시,2020,2,1537,1430
의왕시,2020,2,2169,1971
여주시,2020,2,1039,939
양평시,2020,2,890,795
동두천시,2020,2,1058,970
과천시,2020,2,710,593
가평군,2020,2,488,423
연천군,2020,2,408,345
안산시,2019,3,9830,8108
화성시,2019,3,6948,5445
남양주시,2019,3,7177,5667
안양시,2019,3,7346,6282
평택시,2019,3,5352,4435
의정부시,2019,3,5400,4357
파주시,2019,3,4490,3579
시흥시,2019,3,5599,4924
김포시,2019,3,3484,2776
광명시,2019,3,3566,3183
광주시,2019,3,3724,3100
군포시,2019,3,3360,2902
이천시,2019,3,2189,1624
오산시,2019,3,2344,1849
하남시,2019,3,2041,1611
양주시,2019,3,2252,1923
구리시,2019,3,2423,2172
안성시,2019,3,1659,1404
포천시,2019,3,1520,1310
의왕시,2019,3,2050,1726
여주시,2019,3,1240,922
양평시,2019,3,893,706
동두천시,2019,3,1045,926
의왕시,2024,3,1710,1543
포천시,2024,3,1294,1080
여주시,2024,3,924,772
동두천시,2024,3,855,714
과천시,2024,3,818,750
양평군,2024,3,770,664
가평군,2024,3,420,337
연천군,2024,3,357,276
수원시,2024,2,13764,10742
용인시,2024,2,11105,8448
고양시,2024,2,11337,7497
성남시,2024,2,0,0
부천시,2024,2,8216,6108
안산시,2024,2,8301,6282
화성시,2024,2,8309,6465
남양주시,2024,2,7150,5403
안양시,2024,2,5808,4550
평택시,2024,2,5714,4066
시흥시,2024,2,5450,4136
파주시,2024,2,4800,3766
의정부시,2024,2,0,0
김포시,2024,2,3744,2961
광주시,2024,2,3585,2415
군포시,2024,2,2928,2401
광명시,2024,2,2910,2245
하남시,2024,2,2467,1573
양주시,2024,2,2576,1878
오산시,2024,2,2440,1766
이천시,2024,2,2068,1681
구리시,2024,2,1987,1489
안성시,2024,2,1757,1337
의왕시,2024,2,1730,1399
포천시,2024,2,1341,991
여주시,2024,2,913,679
동두천시,2024,2,858,633
과천시,2024,2,803,660
양평군,2024,2,746,589
가평군,2024,2,443,282
연천군,2024,2,359,223
수원시,2024,1,13773,11900
용인시,2024,1,10886,9097
고양시,2024,1,11313,8205
성남시,2024,1,0,0
부천시,2024,1,8201,6789
안산시,2024,1,8263,6908
화성시,2024,1,8250,7276
남양주시,2024,1,6999,6098
안양시,2024,1,5879,5068
평택시,2024,1,5489,4423
시흥시,2024,1,5318,4446
파주시,2024,1,4682,3876
의정부시,2024,1,0,0
김포시,2024,1,3773,3320
광주시,2024,1,3552,2800
군포시,2024,1,2868,2558
광명시,2024,1,2864,2472
하남시,2024,1,2521,1741
양주시,2024,1,2579,2087
오산시,2024,1,2316,1875
이천시,2024,1,2085,1829
구리시,2024,1,1994,1707
안성시,2024,1,1725,1455
의왕시,2024,1,1724,1519
포천시,2024,1,1348,1049
여주시,2024,1,920,779
동두천시,2024,1,880,709
과천시,2024,1,785,723
양평군,2024,1,739,639
가평군,2024,1,441,320
연천군,2024,1,354,262
용인시,2023,3,10996,9053
성남시,2023,3,9229,6542
부천시,2023,3,8417,7065
안산시,2023,3,8296,6953
화성시,2023,3,8167,6738
남양주시,2023,3,6952,5755
안양시,2023,3,5869,5122
평택시,2023,3,5501,4603
의정부시,2023,3,4954,4093
파주시,2023,3,4599,3791
시흥시,2023,3,5243,4307
김포시,2023,3,3736,3077
광명시,2023,3,2926,2593
광주시,2023,3,3620,2888
수원시,2019,2,15963,13362
고양시,2019,2,13114,11202
용인시,2019,2,10941,9346
성남시,2019,2,11482,9847
부천시,2019,2,10896,9041
안산시,2019,2,9960,8184
화성시,2019,2,6791,5581
남양주시,2019,2,7209,5734
안양시,2019,2,7574,6649
평택시,2019,2,5325,4390
의정부시,2019,2,5547,4463
파주시,2019,2,4616,3884
시흥시,2019,2,5618,5195
김포시,2019,2,3480,2856
광명시,2019,2,3654,3322
광주시,2019,2,3766,3163
군포시,2019,2,3403,2946
이천시,2019,2,2203,1594
오산시,2019,2,2355,1894
하남시,2019,2,2027,1639
양주시,2019,2,2276,1947
구리시,2019,2,2452,2134
안성시,2019,2,1766,1525
포천시,2019,2,1543,1275
의왕시,2019,2,2026,1744
여주시,2019,2,1051,888
양평시,2019,2,890,724
동두천시,2019,2,1058,962
과천시,2019,2,710,634
가평군,2019,2,488,423
연천군,2019,2,438,343
수원시,2019,3,15706,12737
고양시,2019,3,12971,10849
용인시,2019,3,10971,9288
성남시,2019,3,11133,9804
부천시,2019,3,10653,9094
