peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
20385634,김종윤,Kim Jong Yun,조명팀,정직한 후보2|불모지|가랑비|그 무렵 우리는|기기묘묘
20386771,앙리,Anglee,감독,커플지옥|매직포션21|어둠이 내리면|커플링|여친이방
20290379,이자은,,배우,당골|효자|습도 다소 높음|아직 사랑하고 있습니까?|내안의 그놈|언니|식구|애연|로마의 휴일|포크레인|석조저택 살인사건
20325075,조성희,,배우,"로망스|당골|구원|조선주먹|전주에서 길을 묻다|오케이 마담|슈팅걸스|아직 사랑하고 있습니까?|건달티처|엑시트|귀신의 향기|여배우들의 동행|내안의 그놈|너의 결혼식|정희|어린이집 가는 날|하루애|토끼, 노란 꽃과 다른 것들"
20388446,허다희,dahee heo,배우,가슴이 터질 것만 같아!|정아의 사생활|여름의 사랑|희지의 세계|아가리 파이터 |한국단편경쟁 6 - 제21회 전주국제영화제
20203375,오윤동,Yoon-Dong OH,감독,"제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마|레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마|세븐틴 [라잇 히어] 월드 투어 인 시네마|아이유 콘서트 : 더 위닝|(여자)아이들 월드투어 [아이돌] 인 시네마|엔시티 드림 미스터리 랩: 드림 이스케이프 인 시네마|백현: 론스달라이트 닷 인 시네마|하이라이트: 라이츠 고 온, 어게인 인 시네마|태용: 티와이 트랙 인 시네마|베테랑2|세븐틴 투어 ‘팔로우’ 어게인 투 시네마|블랙핑크 월드투어 [본 핑크] 인 시네마|탈출: 프로젝트 사일런스|에스파: 월드 투어 인 시네마|파묘|엔시티 네이션 : 투 더 월드 인 시네마|바람 따라 만나리 : 김호중의 계절|비더원: 비퍼스트 더 무비|아임 히어로 더 파이널|방탄소년단: 옛 투 컴 인 시네마|엔시티 드림 더 무비 : 인 어 드림|엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정|인생은 뷰티풀: 비타돌체|비상선언|세븐틴 파워 오브 러브 : 더 무비|한산 리덕스|한산: 용의 출현|몬스타엑스 : 더 드리밍|귀문|블랙핑크 더 무비|모가디슈|1947 보스톤|몬테크리스토: 더 뮤지컬 라이브|토이 솔져스: 가짜사나이2 더 컴플리트|그대, 고맙소 : 김호중 생애 첫 팬미팅 무비|아이즈 온 미 : 더 무비|극장판 샤이닝스타:새로운 루나퀸의 탄생!|러브 유어셀프 인 서울|언더독|점박이 한반도의 공룡2 : 새로운 낙원|트와이스랜드|곤지암|염력|젝스키스 에이틴|뽀로로 극장판 공룡섬 대모험|장산범|군함도|고산자, 대동여지도|인천상륙작전|부산행|빅뱅 메이드|번개맨|오디세오|1789, 바스티유의 연인들"
20376282,나카지마 아유무,Ayumu Nakajima,배우,해피엔드|너와 끝까지|우연과 상상|수요일이 사라졌다|사랑본섹
20383124,이노리 키라라,Kirara Inori,배우,해피엔드|썸머 필름을 타고!
20227528,박서준,,촬영팀,카운트|스텔라|특송|더스트맨|검객|82년생 김지영|생일|우상|동네사람들|질투의 역사|공작|리얼|목숨 건 연애|검사외전|더 폰|악의 연대기|나의 절친 악당들|강남 1970|레드카펫|군도: 민란의 시대
20222346,서혜림,,감독,영원했으면 하는 건 무엇인가요?|우리는 어떤 음악을 만들 거거든요?|judge me treat me punish me|모팽양에게|우주여행
20162697,김연주,Yeonjoo Kim,제작팀,브로커|보호자|더 박스|나의 촛불|돌멩이|인랑|옥자
20391134,구유진,,배우,30일
20400668,박근태,,배우,"초혼, 다시 부르는 노래"
20400687,한정민,,온라인마케팅,핸섬가이즈
20396887,고이경,GO I-gyoung,,공포특급
